"PackageId","CurrentVersion","LatestVersion","GitHubOwner","GitHubRepo","GitHubUrl","InstallerUrl","ManifestPath"
"SVZsoft.GEDKeeper","3.7.0","3.9.0","Serg-Norseman","GEDKeeper","https://github.com/Serg-Norseman/GEDKeeper","https://github.com/Serg-Norseman/GEDKeeper/releases/download/v3.7.0/gedkeeper_3.7.0_win86.zip","\manifests\s\SVZsoft\GEDKeeper\3.7.0\SVZsoft.GEDKeeper.installer.yaml"
"TabbyML.Tabby","0.15.0","0.27.0","TabbyML","tabby","https://github.com/TabbyML/tabby","https://github.com/TabbyML/tabby/releases/download/v0.15.0/tabby_x86_64-windows-msvc-cuda122.zip","\manifests\t\TabbyML\Tabby\0.15.0\TabbyML.Tabby.installer.yaml"
"ITDevTeam.UUPMediaCreator","3.0.26.0","3.1.9.3","gus33000","UUPMediaCreator","https://github.com/gus33000/UUPMediaCreator","https://github.com/gus33000/UUPMediaCreator/releases/download/v0.3.0.8-uwp/UUPMediaCreatorPackage_3.0.26.0_x86_x64_arm64.msixbundle","\manifests\i\ITDevTeam\UUPMediaCreator\3.0.26.0\ITDevTeam.UUPMediaCreator.installer.yaml"
"tesseract-ocr.tesseract","5.5.0.20241111","5.5.0","tesseract-ocr","tesseract","https://github.com/tesseract-ocr/tesseract","https://github.com/tesseract-ocr/tesseract/releases/download/5.5.0/tesseract-ocr-w64-setup-5.5.0.20241111.exe","\manifests\t\tesseract-ocr\tesseract\5.5.0.20241111\tesseract-ocr.tesseract.installer.yaml"
"Maxthon.Maxthon","7.2.2.7200","7.3.1.4200","maxthon","update","https://github.com/maxthon/update","https://github.com/maxthon/update/releases/download/7.2.2.7200/maxthon_7.2.2.7200_x86_win7.exe","\manifests\m\Maxthon\Maxthon\7.2.2.7200\Maxthon.Maxthon.installer.yaml"
"Mattermost.Focalboard","7.11.3","8.0.0","mattermost","focalboard","https://github.com/mattermost/focalboard","https://github.com/mattermost/focalboard/releases/download/v7.11.3/focalboard-win.zip","\manifests\m\Mattermost\Focalboard\7.11.3\Mattermost.Focalboard.installer.yaml"
"TheStellaTeam.Stella","6.7.1","7.0","stella-emu","stella","https://github.com/stella-emu/stella","https://github.com/stella-emu/stella/releases/download/6.7.1/Stella-6.7.1-x64.exe","\manifests\t\TheStellaTeam\Stella\6.7.1\TheStellaTeam.Stella.installer.yaml"
"BleuBleu.FamiStudio","4.3.1","4.3.3","BleuBleu","FamiStudio","https://github.com/BleuBleu/FamiStudio","https://github.com/BleuBleu/FamiStudio/releases/download/4.3.1/FamiStudio431-WinInstaller.zip","\manifests\b\BleuBleu\FamiStudio\4.3.1\BleuBleu.FamiStudio.installer.yaml"
"OtfriedCheong.Ipe","7.2.29","7.2.30","otfried","ipe","https://github.com/otfried/ipe","https://github.com/otfried/ipe/releases/download/v7.2.29/ipe-7.2.29-win64.zip","\manifests\o\OtfriedCheong\Ipe\7.2.29\OtfriedCheong.Ipe.installer.yaml"
"qier222.YesPlayMusic","0.4.8","0.4.9","qier222","YesPlayMusic","https://github.com/qier222/YesPlayMusic","https://github.com/qier222/YesPlayMusic/releases/download/v0.4.8-2/YesPlayMusic.Setup.0.4.8.exe","\manifests\q\qier222\YesPlayMusic\0.4.8\qier222.YesPlayMusic.installer.yaml"
"steventhanna.proton","0.2.0","0.2.1","steventhanna","proton","https://github.com/steventhanna/proton","https://github.com/steventhanna/proton/releases/download/v0.2.1/Proton.Setup.0.2.0.exe","\manifests\s\steventhanna\proton\0.2.0\steventhanna.proton.installer.yaml"
"sharkdp.insect","5.7.0","5.9.0","sharkdp","insect","https://github.com/sharkdp/insect","https://github.com/sharkdp/insect/releases/download/v5.7.0/insect-windows-x64.exe","\manifests\s\sharkdp\insect\5.7.0\sharkdp.insect.installer.yaml"
